"Problem","Solution"
"🍎 + 🍎 = 4. Find the value of 🍎.","🍎 = 2."
"🍌 + 🍌 + 🍌 = 15. Find the value of 🍌.","🍌 = 5."
"🎒 - 🏀 = 3, and 🎒 + 🎒 = 10. Find the values of 🎒 and 🏀.","🎒 = 5, 🏀 = 2."
"🍫 + 🍭 = 7, and 🍭 + 🍭 = 6. Find the values of 🍫 and 🍭.","🍫 = 4, 🍭 = 3."
"🍇 × 🍇 = 16. Find the value of 🍇.","🍇 = 4."
"🌟 + 🌟 + 🌟 = 9. Find the value of 🌟.","🌟 = 3."
"🐶 + 🐱 = 10, and 🐶 - 🐱 = 2. Find the values of 🐶 and 🐱.","🐶 = 6, 🐱 = 4."
"🐻 × 🐻 = 25. Find the value of 🐻.","🐻 = 5."
"🚗 + 🚕 = 12, and 🚗 - 🚕 = 4. Find the values of 🚗 and 🚕.","🚗 = 8, 🚕 = 4."
"🍋 + 🍉 + 🍉 = 13, and 🍉 = 5. Find the value of 🍋.","🍋 = 3."
"🎈 - 🎁 = 1, and 🎈 + 🎈 = 10. Find the values of 🎈 and 🎁.","🎈 = 5, 🎁 = 4."
"🍄 × 🍄 = 9. Find the value of 🍄.","🍄 = 3."
"🔔 + 🔔 + 🔔 + 🔔 = 20. Find the value of 🔔.","🔔 = 5."
"🍕 + 🍔 = 10, and 🍔 + 🍔 = 8. Find the values of 🍕 and 🍔.","🍕 = 2, 🍔 = 4."
"🎸 + 🎸 = 14, and 🎸 - 🎷 = 8. Find the values of 🎸 and 🎷.","🎸 = 7, 🎷 = -1."
"🐠 + 🐠 + 🐠 = 18. Find the value of 🐠.","🐠 = 6."
"🌻 × 🌻 = 36. Find the value of 🌻.","🌻 = 6."
"🐦 + 🐢 = 12, and 🐦 - 🐢 = 4. Find the values of 🐦 and 🐢.","🐦 = 8, 🐢 = 4."
"🚲 + 🚲 + 🚲 + 🚲 = 24. Find the value of 🚲.","🚲 = 6."
"🎃 + 🌽 = 13, and 🎃 - 🌽 = 3. Find the values of 🎃 and 🌽.","🎃 = 8, 🌽 = 5."
"📚 + 📚 = 16. Find the value of 📚.","📚 = 8."
"🐇 × 🐇 = 64. Find the value of 🐇.","🐇 = 8."
"🌞 + 🌛 = 18, and 🌞 - 🌛 = 6. Find the values of 🌞 and 🌛.","🌞 = 12, 🌛 = 6."
"🎨 + 🎨 + 🎨 = 27. Find the value of 🎨.","🎨 = 9."
"☕ + 🍪 = 11, and ☕ - 🍪 = 1. Find the values of ☕ and 🍪.","☕ = 6, 🍪 = 5."
"🌳 × 🌳 = 49. Find the value of 🌳.","🌳 = 7."
"🐉 + 🐉 + 🐉 + 🐉 = 28. Find the value of 🐉.","🐉 = 7."
"🎁 + 🎀 = 14, and 🎁 - 🎀 = 2. Find the values of 🎁 and 🎀.","🎁 = 8, 🎀 = 6."
"🍓 + 🍓 + 🍓 = 21. Find the value of 🍓.","🍓 = 7."
"🐢 × 🐢 = 49. Find the value of 🐢.","🐢 = 7."
